⌚	zegarek	godzina|zegarek
🐸	głowa żaby	buźka|głowa|głowa żaby|płaz|ropucha|traszka|żaba|żabka|zwierzę
🐹	głowa chomika	buźka|chomik|chomika|głowa|gryzoń|mysz|zwierzę
🐺	głowa wilka	buźka|dziki|głowa|las|pysk|wilk|wilka|zwierzę
🐻	głowa niedźwiedzia	buźka|głowa|miś|niedźwiedź|niedźwiedzia|zwierzę
🐼	głowa pandy	buźka|głowa|miś|panda|pandy|zwierzę
🐽	ryj świni	nosek|ryj|ryjek|świni|świnka|świński|zwierzę
🐾	ślady łap	łapki|łapy|odciski|ślady|ślady łap|tropy
👀	oczy	obserwacja|obserwowanie|oczy|oko|twarz|wow
👂	ucho	ciało|słyszeć|ucho
👃	nos	ciało|nos
👄	usta	ciało|usta|wargi
👅	język	ciało|język|mniam
👆	dłoń z palcem wskazującym w górę	dłoń z palcem wskazującym w górę|do góry|góra|palec|palec w górę|ręka|w górę|wskazujący
👇	dłoń z palcem wskazującym w dół	dłoń z palcem wskazującym w dół|dół|na dół|palec|palec w dół|ręka|w dół|wskazujący
👈	dłoń z palcem wskazującym w lewo	dłoń z palcem wskazującym w lewo|lewa strona|palec|palec w lewo|ręka|tam|w lewo|wskazujący
👉	dłoń z palcem wskazującym w prawo	dłoń z palcem wskazującym w prawo|palec|palec w prawo|prawa strona|ręka|tam|w prawo|wskazujący
👊	pięść od przodu	cios|cios pięścią|dłoń|pięść|pięść od przodu|prawy prosty|ręka|sierpowy|zaciśnięta pięść
👋	machająca dłoń	cześć|dłoń|halo|hej|machać|machająca dłoń|pa|papa|powitanie|pożegnanie|ręka|witaj
👌	dłoń z gestem OK	dłoń|dłoń z gestem OK|dobre|idealnie|ok|okej|potwierdzenie|racja|ręka|super|tak|w porządku|zgoda|znak OK
👍	kciuk w górę	brawo|kciuk|kciuk w górę|lubię|lubię to|OK|okej|podoba mi się|ręka|tak|w porządku|zgoda
👎	kciuk w dół	brzydkie|kciuk w dół|nie|nie lubię|nie podoba mi się|ręka
👏	klaskanie	brawa|brawo|klaskać|klaskanie|oklaski|ręce|ręka
👐	otwarte dłonie	otwarte dłonie|puste ręce|ręce|ręka|złapać
👑	korona	korona|król|królowa
👒	kapelusz damski	damski|kapelusz|nakrycie głowy|ze wstążką
👓	okulary	oczy|okulary|szkła
👔	krawat	koszula|krawat|męski|ozdoba|praca
👕	koszulka	koszulka|krótkie rękawy|męska|t-shirt|z krótkimi rękawami
👖	dżinsy	dżinsy|jeansy|spodnie|ubiór|ubranie
👗	sukienka	lato|sukienka|suknia|ubiór|ubranie
👘	kimono	kimono|ubiór|ubranie
👙	bikini	bikini|do pływania|strój kąpielowy|ubiór|ubranie
👚	ubranie damskie	bluzka|damska|ubiór|ubranie|ubranie damskie
👛	portmonetka	monety|na monety|pieniądze|portmonetka|różowa|torebka
👜	torebka	bagaż|damska|torba|torebka
👝	saszetka	damska|portmonetka|saszetka|torba|torebka
👞	but męski	but|męski
👟	but do biegania	bieganie|but|but do biegania|sport|trampek
👠	but na wysokim obcasie	but|buty|na obcasie|na szpilkach|na wysokim obcasie|obcas|obcasy|obuwie|odzież|szpilka|wysoki|wysokie
👡	sandał damski	but|buty|damski|obuwie|odzież|sandał
👢	kozak damski	but|buty|damski|kozaczek|kozak|obuwie|odzież|ubranie
👣	ślady stóp	odciski stóp|ślady|ślady stóp|stopy
👤	sylwetka popiersia	osoba|sylwetka|sylwetka popiersia
👥	sylwetki popiersi	osoby|sylwetki|sylwetki popiersi
👦	chłopiec	chłopiec|dziecko|głowa|młody
👧	dziewczynka	dziecko|dziewczynka|głowa|młoda|panna|znak zodiaku|zodiak
👨	mężczyzna	głowa|mężczyzna
👨‍🌾	mężczyzna rolnik	farmer|mężczyzna|ogrodnik|osoba|praca|rolnik|zawód
👨‍🍳	mężczyzna kucharz	głowa|kucharz|mężczyzna|osoba|praca|szef kuchni|zawód
👨‍🍼	mężczyzna karmiący niemowlę	karmienie|karmienie butlą|mężczyzna|mężczyzna karmiący niemowlę|mleko modyfikowane|niemowlę
👨‍🎓	mężczyzna student	mężczyzna|osoba|student|szkoła
👨‍🎤	mężczyzna piosenkarz	aktor|mężczyzna|osoba|piosenkarz|praca|rock|rocker|zawód
👨‍🎨	mężczyzna artysta	artysta|malarz|mężczyzna|osoba|paleta|praca|zawód
👨‍🏫	mężczyzna nauczyciel	mężczyzna|nauczyciel|osoba|praca|profesor|wykładowca|zawód
👨‍🏭	mężczyzna pracownik fabryki	fabryka|mężczyzna|mężczyzna pracownik fabryki|montażysta|osoba|praca|pracownik|pracownik fabryki|spawacz|zawód
👨‍💻	mężczyzna technolog	inżynier|komputer|mężczyzna|mężczyzna technolog|oprogramowanie|osoba|praca|programista|wynalazca|zawód
👨‍💼	mężczyzna pracownik biurowy	architekt|biuro|biznesmen|mężczyzna|mężczyzna pracownik biurowy|osoba|praca|pracownik biurowy|zawód
👨‍🔧	mężczyzna elektryk	elektryk|hydraulik|mechanik|mężczyzna|osoba|praca|zawód
👨‍🔬	mężczyzna naukowiec	biolog|chemik|inżynier|mężczyzna|naukowiec|osoba|praca|zawód
👨‍🚀	mężczyzna astronauta	astronauta|człowiek|głowa|kosmos|mężczyzna|osoba|praca|rakieta|zawód
👨‍🚒	mężczyzna strażak	głowa|mężczyzna|osoba|praca|strażak|wóz strażacki|zawód
👨‍🦯	mężczyzna z białą laską	dostępność|mężczyzna|mężczyzna z białą laską|niewidomy
👨‍🦼	mężczyzna na elektrycznym wózku inwalidzkim	dostępność|mężczyzna|mężczyzna na elektrycznym wózku inwalidzkim|wózek inwalidzki
👨‍🦽	mężczyzna na wózku inwalidzkim	dostępność|mężczyzna|mężczyzna na wózku inwalidzkim|wózek inwalidzki
👩	kobieta	głowa|kobieta
👩‍🌾	rolniczka	farmer|farmerka|kobieta|ogrodniczka|ogrodnik|osoba|praca|rolniczka|rolnik|zawód
👩‍🍳	kucharka	kobieta|kucharka|osoba|praca|szef kuchni|zawód
👩‍🍼	kobieta karmiąca niemowlę	karmienie|karmienie butlą|karmienie piersią|kobieta|kobieta karmiąca niemowlę|mama|mleko modyfikowane|niemowlę
👩‍🎓	studentka	kobieta|osoba|studentka|szkoła
👩‍🎤	piosenkarka	aktorka|kobieta|osoba|piosenkarka|praca|rock|rockerka|zawód
👩‍🎨	artystka	artysta|artystka|kobieta|malarka|malarz|osoba|paleta|praca|zawód
👩‍🏫	nauczycielka	kobieta|nauczycielka|osoba|praca|profesor|wykładowczyni|zawód
👩‍🏭	pracownica fabryki	fabryka|kobieta|montażystka|osoba|praca|pracownica|pracownica fabryki|pracownik|spawacz|zawód
👩‍💻	kobieta technolog	kobieta|kobieta technolog|komputer|oprogramowanie|osoba|praca|programistka|wynalazczyni|zawód
👩‍💼	pracownica biurowa	architekt|biuro|bizneswoman|kobieta|osoba|praca|pracownica biurowa|zawód
👩‍🔧	kobieta elektryk	elektryk|hydraulik|kobieta|mechanik|osoba|zawód
👩‍🔬	kobieta naukowiec	biolog|chemik|inżynier|kobieta|naukowiec|osoba|zawód
👩‍🚀	astronautka	astronautka|kobieta|kosmos|osoba|praca|rakieta|zawód
👩‍🚒	kobieta strażak	kobieta|osoba|praca|strażaczka|strażak|wóz strażacki|zawód
👩‍🦯	kobieta z białą laską	dostępność|kobieta|kobieta z białą laską|niewidoma
👩‍🦼	kobieta na elektrycznym wózku inwalidzkim	dostępność|kobieta|kobieta na elektrycznym wózku inwalidzkim|wózek inwalidzki
👩‍🦽	kobieta na wózku inwalidzkim	dostępność|kobieta|kobieta na wózku inwalidzkim|wózek inwalidzki
👪	rodzina	dziecko|mama|matka|ojciec|rodzice|rodzina|tata
👫	mężczyzna i kobieta trzymający się za ręce	kobieta|kobieta i mężczyzna|ludzie|mężczyzna|mężczyzna i kobieta|miłość|para|rodzeństwo|trzymający się|za ręce|zakochani
👬	dwóch mężczyzn trzymających się za ręce	dwóch mężczyzn trzymających się za ręce|gej|lgbt|mężczyźni|miłość|para|za ręce|zakochani
👭	kobiety trzymające się za ręce	kobieca para|kobieta|kobiety|kobiety trzymające się za ręce|miłość|para|przyjaciółka|przyjaźń|za ręce|zakochane|zakochani
👮	policjant	areszt|gliniarz|mężczyzna|oficer|osoba|policja|policjant|praca|zawód
👯	osoby z uszami królika na przyjęciu	bliźniaczki|dziewczyny|impreza|kobiety|króliczki|osoby z uszami królika na przyjęciu|przyjaciółki|takie same|tancerki|taniec|uszy
👰	osoba w welonie	osoba|ślub|w welonie|welon|wesele
👱	osoba z włosami blond	blond|blondyn|blondynka|osoba|włosy|z włosami blond
👲	osoba w chińskiej czapce	chińska czapka|Chiny|czapka|głowa|gua pi mao|osoba|w chińskiej czapce
👳	osoba w turbanie	głowa|nakrycie głowy|osoba|sikh|turban|w turbanie
👴	starszy mężczyzna	dziadek|mężczyzna|siwy|starszy|staruszek|stary|starzec
👵	starsza kobieta	babcia|kobieta|siwa|stara|starsza|staruszka
👶	niemowlę	bobas|dziecko|głowa|niemowlę
👷	budowlaniec	budowlaniec|kask|osoba|praca|robotnik|w kasku|zawód
👸	księżniczka	bajka|baśń|głowa|królewna|królowa|księżniczka
👹	ogr	diabeł|Japonia|maska|ogr|potwór|zły
👺	goblin	diabeł|goblin|maska|potwór|stwór|zły
👻	duch	biały|buźka|duch|duszek|halloween|język|potwór|wesoły duch
👼	aniołek	aniołek|bajka|buzia aniołka|fantasy|głowa
👽	ufoludek	bajka|buźka|fantasy|kosmita|kosmos|obcy|pozaziemski|sci-fi|szarak|twarz|ufo|ufoludek
👾	kosmiczny potwór	fantasy|kosmiczny potwór|kosmita|kosmos|obcy|potwór|pozaziemski|sci-fi|szarak|twarz|ufo|ufoludek
👿	zagniewana twarz z rogami	buźka|diabełek|fantasy|rogi|różki|smutny|zagniewana twarz z rogami|zły
💀	czaszka	czaszka|duch|kościotrup|potwór|śmierć|szkielet|trupia czaszka
💁	osoba z wystawioną dłonią	no cóż|osoba|osoba z wystawioną dłonią|otwarta dłoń|pomocna dłoń|ręka|sarkazm
💂	gwardzista	Anglia|gwardzista|Londyn|strażnik
💃	tańcząca kobieta	impreza|kobieta|tancerka|tańcząca|tańczyć|taniec|zabawa|zawód
💄	szminka	kosmetyki|makijaż|malować usta|pomadka|szminka
💅	lakier do paznokci	ciało|kosmetyki|lakier do paznokci|lakierować paznokcie|manicure|paznokcie|pielęgnacja
💆	osoba podczas masażu	ból głowy|masaż|masaż głowy|odprężenie|osoba|podczas masażu|relaks|salon masażu|spa
💇	osoba podczas strzyżenia	fryzjer|fryzjerka|fryzura|osoba|podczas strzyżenia|praca|ścinać|strzyżenie|włosów|włosy
💈	słup fryzjerski	fryzjer|słup fryzjerski
💉	strzykawka	chory|doktor|lekarstwo|lekarz|pielęgniarka|strzykawka|szczepienie|szczepionka|zastrzyk
💊	kapsułka	kapsułka|lek|lekarstwo|pigułka|tabletka
💋	ślad po pocałunku	odcisk ust|pocałunek|ślad po pocałunku|usta
💌	list miłosny	kocham|liścik|list|list miłosny|miłość|serce|wiadomość
💍	pierścionek	diament|miłość|pierścionek|zaręczyny
💎	kamień szlachetny	diament|kamień|klejnot|miłość|szlachetny
💏	pocałunek	buziaki|całusy|kocham|miłość|osoba|osoby|para|pocałunek|zakochani|związek
💐	bukiet kwiatów	bukiet|bukiet kwiatów|kwiaty|miłość|roślina
💑	para z sercem	kocham|miłość|osoba|osoby|para|para z sercem|pocałunek|randka|razem|serce|zakochani|związek
💒	ślub	kaplica|kościół|miłość|serce|ślub|uroczystość
💓	bijące serce	bijące serce|kocham|kocham cię|miłość|serce
💔	złamane serce	kocham|pęknięte|serce|złamane serce
💕	dwa serca	dwa serca|kocham|miłość|serca
💖	migoczące serce	błyszczące serce|kocham|lśniące serce|migoczące serce|miłość|serce
💗	rosnące serce	bicie serca|kocham|puls|rosnące serce|serce|serce rośnie|tętno|zdenerwowany
💘	serce przebite strzałą	kocham|przebite serce|przebite strzałą|serce|serce przebite strzałą|serce ze strzałą
💙	niebieskie serce	kocham|miłość|niebieskie|serce
💚	zielone serce	kocham|miłość|serce|zielone
💛	żółte serce	kocham|miłość|serce|żółte
💜	purpurowe serce	fioletowe|kocham|miłość|purpurowe serce|serce
💝	serce ze wstążką	kocham|różowe|serce|serce ze wstążką|walentynki|wstążka
💞	wirujące serca	kocham|miłość|para|serca dwa|tańczące serca|wirujące serca
💟	dekoracja z sercem	dekoracja|dekoracja z sercem|kocham|ozdoba|serce
💠	romb z kropką	diament|klejnot|kryształ|romb|romb z kropką
💡	żarówka	idea|pomysł|prąd|światło|żarówka
💢	symbol gniewu	gniew|komiks|symbol gniewu|złość
💣	bomba	bomba|bum|eksplozja|komiks|niebezpieczeństwo|wybuch
💤	chrapanie	chrapanie|dobranoc|komiks|nuda|sen|senny|spanie|śpiący|zabawny|żartobliwy|zmęczenie|znudzenie|zzz
💥	kolizja	kolizja|komiks|wybuch|zderzenie
💦	krople potu	deszcz|krople|krople potu|pot|wilgoć|woda
💧	kropla	kropelka|kropla|łza|pot|woda
💨	szybkie poruszanie się	pęd|pędzić|podmuch wiatru|pogoda|szybkie poruszanie się|szybkość|wiatr|wieje|wietrznie
💩	kupa	buźka|gnój|kupa|obornik|odchody|poo|poop|potwór|smród|twarz
💪	napięty biceps	biceps|ćwiczyć|mięśnie|muskularny|muskuły|napięty biceps|ręka|siła|siłka|silny|siłownia
💫	zawroty głowy	gwiazda|gwiazdka|kosmos|noc|orbita|spadająca gwiazda|zawroty głowy
💬	dymek	dialog|dymek|rozmowa
💭	dymek myśli	chmurka|dymek|dymek myśli|myśl|myśleć
💮	biały kwiat	biały kwiat|kontury|kwiatek|pieczątka
💯	sto punktów	100|setka|sto|sto punktów|stówa|stówka
💰	worek z pieniędzmi	bogaty|dolary|kasa|pieniądze|pieniędzy|worek|z pieniędzmi
💱	wymiana walut	kantor|waluta|wymiana|wymiana walut|wymiana waluty
💲	gruby symbol dolara	dolar|dolary|gruby symbol dolara|pieniądze|usd|waluta
💳	karta kredytowa	bank|karta|karta kredytowa|kredyt|pieniądze
💴	banknot jena	bank|banknot|banknot jena|jeny|pieniądze|płacić|rachunek|waluta
💵	banknot dolara	bank|banknot|banknot dolara|dolary|pieniądze|płacić|rachunek|waluta
💶	banknot euro	bank|banknot|euro|pieniądze|płacić|rachunek|waluta
💷	banknot funta	bank|banknot|banknot funta|funty|pieniądze|płacić|rachunek|waluta
💸	uskrzydlone pieniądze	bank|banknot|dolary|gotówka|pieniądze|rachunek|skrzydła|uskrzydlone|waluta|ze skrzydłami
💹	wykres wzrostu z symbolem jena	bank|jen|pieniądze|rynek|trend wzrostowy|waluta|wykres|wykres wzrostu z symbolem jena|wzrost
💺	fotel	fotel|krzesło|samolot|siedzenie
💻	laptop	komputer|laptop|notebook|osobisty|wyświetlacz
💼	teczka	aktówka|biuro|neseser|teczka
💽	dysk komputerowy	dysk|dysk MD|dysk optyczny|komputer|minidysk|płyta
💾	dyskietka	dysk|dyskietka|komputer
💿	dysk optyczny	Blu-ray|CD|DVD|dysk|dysk optyczny|komputer|płyta
📀	DVD	Blu-ray|CD|DVD|dysk|dysk optyczny|komputer|płyta
📁	folder	dokumenty|folder|katalog|teczka
📂	otwarty folder	dokumenty|folder|katalog|otwarty|teczka
📃	zawinięta strona	dokument|kartka|maszynopis|strona|zawinięta
📄	strona	dokument|kartka|maszynopis|pismo|strona
📅	kalendarz	data|kalendarz
📆	kalendarz z wyrywanymi kartkami	data|kalendarz|spirala|z wyrywanymi kartkami|zdzierany
📇	wizytownik	wizytówka|wizytówki|wizytownik
📈	wykres wzrostu	akcje|hossa|rosnący|rynek byka|tendencja|trend|wykres|wzrost|wzrostowa|wzrostu|zwyżkowa|zwyżkowy
📉	wykres spadku	akcje|bessa|malejący|rynek niedźwiedzia|spadek|spadkowa|spadku|strata|tendencja|trend|wykres|zniżkowa|zniżkowy
📊	wykres słupkowy	diagram|słupek|słupkowy|wykres
📋	podkładka do pisania	do pisania|kartka|notes|pisać|pisanie|podkładka|referat
📌	pinezka	pinezka|przypiąć
📍	okrągła pinezka	miejsce|pinezka|przypiąć|szpilka|z główką
📎	spinacz	biuro|do papieru|druciany|spinać|spinacz
📏	linijka	krawędź|linia|linijka|prosta
📐	ekierka	ekierka|linia|linijka|prosta|trójkąt
📑	karty zakładek	dokument|indeksujące|karta|karty|przekładka|przekładki|zakładek|zakładka|zakładki
📒	skoroszyt	notatki|notatnik|skoroszyt|zeszyt|żółty
📓	notes	notatnik|notes|szary|zeszyt
📔	notes z dekoracyjną okładką	książka|notatnik|notes|notes z dekoracyjną okładką|okładka|ozdobna
📕	zamknięta książka	książka|zamknięta
📖	otwarta książka	czytać|książka|nauka|otwarta|uczyć się
📗	zielona książka	biblioteka|czytać|książka|zielona
📘	niebieska książka	biblioteka|czytać|książka|niebieska
📙	pomarańczowa książka	biblioteka|czytać|książka|pomarańczowa
📚	książki	biblioteka|czytać|książka|książki|nauka
📛	plakietka	plakietka|z imieniem
📜	zwój	edykt|papier|pergamin|pismo|zwój
📝	notatka	kartka|notatka|notatki|ołówek|papier|pisać|zapiski
📞	słuchawka telefoniczna	rozmawiać|słuchawka|telefon|telefoniczna
📟	pager	pager
📠	faks	biuro|faks
📡	antena satelitarna	antena|antena satelitarna|czasza|kosmici|nauka|obcy|satelita|talerz
📢	głośnik	głośnik|głośno|komunikat|komunikaty publiczne|tuba głośnikowa
📣	megafon	kibicować|megafon
📤	skrzynka nadawcza	e-mail|email|list|mail|na listy|nadawać|nadawcza|pocztowa|skrzynka|wysyłać|ze strzałką
📥	skrzynka odbiorcza	e-mail|email|list|mail|na listy|odbierać|odbiorcza|otrzymywać|pocztowa|skrzynka|ze strzałką
📦	paczka	paczka|pakunek|przesyłka|pudełko
📧	e-mail	e-mail|email|list|mail|poczta elektroniczna
📨	koperta przychodząca	e-mail|email|koperta|list|mail|poczta|przychodząca|wiadomość
📩	koperta ze strzałką	e-mail|email|koperta|list|mail|odebrać|poczta|przychodząca|wiadomość|ze strzałką
📪	zamknięta skrzynka pocztowa z opuszczoną flagą	listy|poczta|pocztowa|skrzynka|z opuszczoną flagą|zamknięta
📫	zamknięta skrzynka pocztowa z podniesioną flagą	listy|poczta|pocztowa|skrzynka|z podniesioną flagą|zamknięta
📬	otwarta skrzynka pocztowa z podniesioną flagą	listy|otwarta|poczta|pocztowa|skrzynka|z podniesioną flagą
📭	otwarta skrzynka pocztowa z opuszczoną flagą	listy|otwarta|poczta|pocztowa|skrzynka|z opuszczoną flagą
📮	skrzynka na listy	listy|na listy|pocztowa|skrzynka
📯	trąbka pocztowa	poczta|pocztowa|pocztyliona|róg|trąbka
📰	gazeta	gazeta|wiadomości
📱	telefon komórkowy	komóra|komórka|smartfon|telefon|telefon komórkowy
📲	telefon komórkowy ze strzałką	dzwonić|komórka|odebrać|połączenie|smartfon|smartfon ze strzałką|strzałka|telefon|telefon komórkowy ze strzałką
📳	tryb wibracji	komórka|telefon komórkowy|tryb wibracji|wibracje|znak
📴	wyłączony telefon komórkowy	komórka|telefon komórkowy|wyłącz|wyłącz telefon|wyłączony|wyłączony telefon komórkowy
📵	zakaz korzystania z telefonów komórkowych	komórka|nie wnosić|nie wolno|telefon komórkowy|zabroniony|zakaz|zakaz korzystania z telefonów komórkowych
📶	siła sygnału	sieć komórkowa|siła sygnału|zasięg
📷	aparat fotograficzny	aparat|fotografia|fotograficzny|robić zdjęcie|wideo|zdjęcie
📸	aparat fotograficzny z lampą błyskową	aparat|błyskowa|błyskową|flesz|fotograficzny|lampa|z lampą|zdjęcie
📹	kamera wideo	kamera|nagrywać|wideo
📺	telewizja	kineskop|kineskopowy|odbiornik|stary telewizor|telewizja|telewizor|z anteną
📻	radio	odbiornik|radio|radioodbiornik|radiowy
📼	kaseta wideo	kaseta wideo|taśma|VHS
📿	sznur modlitewny	korale|koraliki|modlitwa|naszyjnik|religia|różaniec|sznur modlitewny
🔀	przycisk losowego odtwarzania utworów	krzyżujące się|losowe|losowego|losowo|mieszanie|odtwarzania|odtwarzanie|przecinające się|przycisk|skrzyżowane|strzałki|utworów
🔁	przycisk powtarzania	dookoła|okrężny|ponów|powtórz|przycisk powtarzania|strzałki|w prawo
🔂	przycisk powtarzania jednokrotnego	dookoła|jednokrotnego|okrężny|ponów raz|powtarzania|powtarzanie|powtórz raz|przycisk|strzałki|w prawo
🔃	pionowe strzałki zgodne z ruchem wskazówek zegara	odśwież|okrężny|pionowe strzałki zgodne z ruchem wskazówek zegara|pionowe strzałki zgodnie z ruchem wskazówek zegara|strzałka
🔄	przycisk ze strzałkami przeciwnie do ruchu wskazówek zegara	dookoła|okrężny|przycisk ze strzałkami przeciwnie do ruchu wskazówek zegara|przycisk ze strzałkami w kierunku przeciwnym do ruchu wskazówek zegara|strzałka
🔅	przycisk małej jasności	jasność|mała|niska|przyciemnić|przycisk małej jasności|słońce
🔆	przycisk dużej jasności	duża|jasność|przycisk dużej jasności|rozjaśnić|słońce|wysoka
🔇	wyciszony głośnik	cicho|cisza|głośnik|głośność|wyciszony głośnik|wyciszyć
🔈	niska głośność głośnika	dźwięk|głośnik|głośność|niska głośność|niska głośność głośnika
🔉	średnia głośność głośnika	dźwięk|głośnik|głośność|mała głośność|średnia głośność|średnia głośność głośnika
🔊	wysoka głośność głośnika	duża głośność|dźwięk|głośnik|głośność|wysoka głośność|wysoka głośność głośnika
🔋	bateria	akumulator|akumulatorek|bateria|energia
🔌	wtyczka elektryczna	elektryczna|podłączyć|prąd|wtyczka
🔍	lupa pochylona w lewo	detektyw|lupa|pochylona|skierowana|szukaj|w lewo
🔎	lupa pochylona w prawo	detektyw|lupa|pochylona|skierowana|szukaj|w prawo
🔏	zamknięta kłódka z piórem	atrament|kłódka|niejawne|pióro|podpis|prywatność|z piórem|zamknięta
🔐	zamknięta kłódka z kluczem	blokada|kłódka|kluczyk|z kluczem|zamknięcie|zamknięta
🔑	klucz	hasło|klucz|zamek|zamknąć
🔒	zamknięta kłódka	kłódka|zablokowane|zamknięta|zamknięte
🔓	otwarta kłódka	kłódka|odblokować|otwarta
🔔	dzwonek	dzwon|dzwonek
🔕	przekreślony dzwonek	cicho|cisza|dzwonek|nie wolno|przekreślony dzwonek|zabroniony|zakazany
🔖	zakładka	zakładka|zaznaczenie
🔗	ogniwa	hiperłącze|link|ogniwa|ogniwo|połączenie
🔘	przycisk radiowy	figura geometryczna|kółko|przycisk|przycisk radiowy|przycisk wyboru opcji
🔙	strzałka z napisem BACK	strzałka|strzałka z napisem BACK|wstecz
🔚	strzałka z napisem END	koniec|strzałka|strzałka z napisem END
🔛	strzałka z napisem ON!	strzałka|strzałka w obie strony|strzałka z napisem ON!|włączone
🔜	strzałka z napisem SOON	strzałka|strzałka z napisem SOON|wkrótce
🔝	strzałka z napisem TOP	góra|strzałka|strzałka z napisem TOP|w górę
🔞	zakaz poniżej osiemnastego roku życia	18|niedozwolone|niepełnoletni|od lat|ograniczenie|osiemnastego|osiemnastu|poniżej|roku życia|wiekowe|zabronione|zakaz
🔠	wielkie litery (alfabet łaciński)	abcd|alfabet łaciński|duże litery|kapitaliki|łacińskie|litery|pisać|wielkie litery|wielkimi literami|wprowadzać
🔡	małe litery (alfabet łaciński)	abcd|alfabet łaciński|łacińskie|litery|małe litery|małymi literami|pisać|wprowadzać
🔢	cyfry	1234|cyfry|kalkulator|liczby|wprowadzać
🔣	symbole	pisać|symbole|wprowadzać|znaki
🔤	litery (alfabet łaciński)	abc|abecadło|alfabet|alfabet łaciński|litery|małe litery|pierwsze litery|wprowadzać
🔥	ogień	ogień|płomień|pożar
🔦	latarka	elektryczna|lampka|latarka|światło
🔧	klucz warsztatowy	klucz|klucz warsztatowy|mechanik|narzędzia|narzędzie|warsztat
🔨	młotek	młot|młotek|naprawa|narzędzia|narzędzie
🔩	śruba i nakrętka	gwint|mocowanie|nakrętka|narzędzia|śruba|śruba i nakrętka
🔪	nóż kuchenny	broń|gotowanie|kuchenny|kuchnia|narzędzie|nóż
🔫	pistolet na wodę	broń|broń palna|pistolet|pistolet na wodę|rewolwer
🔬	mikroskop	laboratorium|mikroskop|nauka|obserwacja|powiększenie
🔭	teleskop	luneta|obserwacja|powiększenie|teleskop
🔮	kryształowa kula	fortuna|kryształowa|kula|przepowiadać|wróżka|wróżyć
🔯	gwiazda sześcioramienna z kropką	gwiazda|gwiazda sześcioramienna z kropką|szczęście|żydowska
🔰	japoński symbol początkującego kierowcy	japoński|kierowcy|niebieski|początkującego|początkujący|symbol|szewron|w dół|zielony|żółty
🔱	emblemat z trójzębem	emblemat|kotwica|okręt|posejdon|statek|trójząb|tryton|z trójzębem
🔲	czarny kwadratowy przycisk	biały|czarny|czarny kwadratowy przycisk|figura geometryczna|kwadrat|obramowanie
🔳	biały kwadratowy przycisk	biały|biały kwadratowy przycisk|czarny|figura geometryczna|kwadrat|obramowanie
🔴	czerwone koło	czerwone|figura geometryczna|kółko|koło
🔵	niebieskie koło	figura geometryczna|kółko|koło|niebieskie
🔶	duży pomarańczowy romb	duży|figura geometryczna|kształt|pomarańczowy|romb
🔷	duży niebieski romb	duży|figura geometryczna|kształt|niebieski|romb
🔸	mały pomarańczowy romb	figura geometryczna|kształt|mały|pomarańczowy|romb
🔹	mały niebieski romb	figura geometryczna|kształt|mały|niebieski|romb
🔺	czerwony trójkąt skierowany w górę	czerwony|czerwony trójkąt skierowany w górę|do góry|figura geometryczna|trójkąt|w górę|wierzchołkiem
🔻	czerwony trójkąt skierowany w dół	czerwony|czerwony trójkąt skierowany w dół|figura geometryczna|na dół|trójkąt|w dół|wierzchołkiem
🔼	przycisk „w górę”	do góry|przycisk „w górę”|strzałka|trójkąt|w górę
🔽	przycisk „w dół”	na dół|przycisk „w dół”|strzałka|trójkąt|w dół
🕋	kaaba	islam|kaaba|muzułmanin|religia
🕌	meczet	islam|meczet|muzułmanin|religia|świątynia
🕍	synagoga	religia|świątynia|synagoga|żyd|żydowski
🕎	menora	Chanuka|Chanukija|judaizm|kandelabr|menora|religia|świecznik|żydowska
🕐	godzina 1:00	00|1|1:00|czas|godzina|pierwsza|trzynasta|zegar
🕑	godzina 2:00	00|2|2:00|czas|czternasta|druga|godzina|zegar
🕒	godzina 3:00	00|3|3:00|czas|godzina|piętnasta|trzecia|zegar
🕓	godzina 4:00	00|4|4:00|czas|czwarta|godzina|szesnasta|zegar
🕔	godzina 5:00	00|5|5:00|czas|godzina|piąta|siedemnasta|zegar
🕕	godzina 6:00	00|6|6:00|czas|godzina|osiemnasta|szósta|zegar
🕖	godzina 7:00	00|7|7:00|czas|dziewiętnasta|godzina|siódma|zegar
🕗	godzina 8:00	00|8|8:00|czas|dwudziesta|godzina|ósma|zegar
🕘	godzina 9:00	00|9|9:00|dwudziesta pierwsza|dziewiąta|godzina|zegar
🕙	godzina 10:00	00|10|10:00|czas|dwudziesta druga|dziesiąta|godzina|zegar
🕚	godzina 11:00	00|11|11:00|czas|dwudziesta trzecia|godzina|jedenasta|zegar
🕛	godzina 12:00	00|12|12:00|dwunasta|godzina|północ|południe|zegar|zero
🕜	godzina 1:30	1|1:30|30|czas|godzina|pierwsza trzydzieści|trzynasta trzydzieści|zegar
🕝	godzina 2:30	2|2:30|30|czas|czternasta trzydzieści|druga trzydzieści|godzina|zegar
🕞	godzina 3:30	3|3:30|30|czas|godzina|piętnasta trzydzieści|trzecia trzydzieści|zegar
🕟	godzina 4:30	30|4|4:30|czas|czwarta trzydzieści|godzina|szesnasta trzydzieści|zegar
🕠	godzina 5:30	30|5|5:30|czas|godzina|piąta trzydzieści|siedemnasta trzydzieści|zegar
🕡	godzina 6:30	30|6|6:30|czas|godzina|osiemnasta trzydzieści|szósta trzydzieści|zegar
